time,gFx,gFy,gFz,TgF
22:00:03:603,-0.0680,0.2842,1.2528,1.286
22:00:03:605,-0.0680,0.3162,1.2689,1.309
22:00:03:619,-0.0520,0.3803,1.2448,1.303
22:00:03:708,-0.0560,0.4123,1.1848,1.256
22:00:03:709,-0.0280,0.3803,1.1928,1.252
22:00:03:711,-0.0400,0.3242,1.2168,1.260
22:00:03:716,-0.0160,0.2602,1.1848,1.213
22:00:03:718,0.0040,0.2602,1.1848,1.213
22:00:03:719,0.0120,0.2922,1.1568,1.193
22:00:03:721,0.0200,0.2962,1.1328,1.171
22:00:03:722,0.0360,0.2842,1.1128,1.149
22:00:03:724,0.0440,0.2522,1.1007,1.130
22:00:03:725,0.0200,0.2001,1.0567,1.076
22:00:03:726,0.0160,0.1601,1.0047,1.017
22:00:03:740,0.0000,0.1961,0.9526,0.973
22:00:03:743,-0.0200,0.2041,0.9446,0.967
22:00:03:752,-0.0280,0.1961,0.9767,0.997
22:00:03:762,-0.0440,0.1881,1.0087,1.027
22:00:03:785,-0.0841,0.1761,1.0567,1.075
22:00:03:787,-0.1081,0.1681,1.0607,1.079
22:00:03:799,-0.1001,0.1961,1.0567,1.079
22:00:03:808,-0.0881,0.2362,1.0407,1.071
22:00:03:812,-0.0921,0.2442,1.0247,1.057
22:00:03:822,-0.0961,0.2001,1.0087,1.033
22:00:03:848,-0.0841,0.1601,0.9767,0.993
22:00:03:850,-0.0761,0.1401,0.9486,0.962
22:00:03:865,-0.0720,0.1441,0.9486,0.962
22:00:03:867,-0.0881,0.1321,0.9847,0.997
22:00:03:876,-0.0881,0.1161,1.0207,1.031
22:00:03:888,-0.0881,0.0961,1.0407,1.049
22:00:03:892,-0.0801,0.1041,1.0327,1.041
22:00:03:904,-0.0720,0.0961,1.0127,1.020
22:00:03:912,-0.0600,0.0961,1.0087,1.015
22:00:03:922,-0.0520,0.0761,0.9727,0.977
22:00:03:952,-0.0360,0.0801,0.9727,0.977
22:00:03:954,-0.0400,0.0640,0.9727,0.976
22:00:03:955,-0.0520,0.0961,0.9927,0.999
22:00:03:970,-0.0520,0.1281,1.0167,1.026
22:00:03:972,-0.0560,0.1681,1.0127,1.028
22:00:03:986,-0.0640,0.1961,1.0207,1.041
22:00:03:992,-0.0480,0.2201,0.9887,1.014
22:00:04:2,-0.0560,0.1961,0.9687,0.990
22:00:04:12,-0.0520,0.2121,0.9446,0.970
22:00:04:22,-0.0320,0.2121,0.9166,0.941
22:00:04:47,-0.0560,0.2282,0.9366,0.966
22:00:04:49,-0.0761,0.2482,0.9647,0.999
22:00:04:55,-0.0841,0.2402,1.0607,1.091
22:00:04:62,-0.1041,0.2282,1.1208,1.148
22:00:04:72,-0.0881,0.2201,1.1968,1.220
22:00:04:83,-0.0761,0.2242,1.2128,1.236
22:00:04:92,-0.0520,0.2322,1.1768,1.201
22:00:04:102,-0.0520,0.2242,1.1248,1.148
22:00:04:112,-0.0480,0.1921,1.0687,1.087
22:00:04:122,-0.0440,0.1361,1.0127,1.023
22:00:04:148,-0.0520,0.1121,0.9687,0.977
22:00:04:150,-0.0761,0.1161,0.9446,0.955
22:00:04:152,-0.0881,0.1241,0.9767,0.988
22:00:04:165,-0.0841,0.1441,1.0287,1.042
22:00:04:173,-0.0881,0.1521,1.0607,1.075
22:00:04:186,-0.1081,0.1521,1.1328,1.148
22:00:04:192,-0.1121,0.1441,1.1368,1.151
22:00:04:202,-0.1081,0.1321,1.1408,1.153
22:00:04:215,-0.0720,0.1521,1.0847,1.098
22:00:04:222,-0.0360,0.1761,1.0207,1.036
22:00:04:232,-0.0160,0.1641,1.0087,1.022
22:00:04:242,-0.0320,0.1841,0.9887,1.006
22:00:04:262,-0.0720,0.1801,1.0047,1.023
22:00:04:264,-0.0921,0.1761,1.0887,1.107
22:00:04:272,-0.0600,0.1761,1.1128,1.128
22:00:04:282,-0.0400,0.2121,1.1168,1.137
22:00:04:292,-0.0560,0.2242,1.1088,1.133
22:00:04:302,-0.0841,0.2121,1.0807,1.105
22:00:04:314,-0.0961,0.1721,1.0767,1.095
22:00:04:322,-0.0961,0.1561,1.0447,1.061
22:00:04:332,-0.0480,0.1481,1.0247,1.036
22:00:04:342,0.0200,0.1681,1.0087,1.023
22:00:04:363,0.0120,0.2001,1.0487,1.068
22:00:04:365,-0.0360,0.1881,1.0887,1.105
22:00:04:372,-0.0600,0.1761,1.0887,1.105
22:00:04:382,-0.0480,0.1521,1.0887,1.100
22:00:04:392,0.0120,0.1721,1.0447,1.059
22:00:04:402,0.0320,0.2121,1.0127,1.035
22:00:04:414,0.0160,0.2602,1.0007,1.034
22:00:04:422,-0.0160,0.2722,0.9887,1.026
22:00:04:432,-0.0440,0.2842,0.9526,0.995
22:00:04:442,-0.0480,0.3162,0.8686,0.926
22:00:04:465,-0.0680,0.3322,0.8886,0.951
22:00:04:467,-0.0961,0.3723,0.9046,0.983
22:00:04:472,-0.1001,0.3723,0.9526,1.028
22:00:04:482,-0.1001,0.3763,1.0447,1.115
22:00:04:492,-0.0600,0.4003,1.1208,1.192
22:00:04:502,-0.0360,0.4283,1.1608,1.238
22:00:04:514,0.0040,0.4763,1.1768,1.270
22:00:04:522,-0.0080,0.5003,1.1568,1.260
22:00:04:532,-0.0040,0.5083,1.0647,1.180
22:00:04:542,-0.0080,0.4723,0.9286,1.042
22:00:04:566,0.0120,0.4363,0.8406,0.947
22:00:04:568,0.0000,0.4083,0.8246,0.920
22:00:04:575,-0.0360,0.3482,0.8446,0.914
22:00:04:582,-0.0400,0.3082,0.9086,0.960
22:00:04:660,-0.0600,0.2962,0.9566,1.003
22:00:04:662,-0.0761,0.3162,1.0167,1.067
22:00:04:664,-0.0560,0.3242,1.0367,1.088
22:00:04:665,-0.0320,0.3803,0.9887,1.060
22:00:04:666,-0.0520,0.3923,0.9206,1.002
22:00:04:668,-0.0801,0.3682,0.8686,0.947
22:00:04:669,-0.0640,0.3242,0.8085,0.873
22:00:04:671,-0.0400,0.2762,0.7925,0.840
22:00:04:672,-0.0040,0.2642,0.8286,0.870
22:00:04:791,0.0200,0.2642,0.8886,0.927
22:00:04:792,0.0040,0.2682,1.0127,1.048
22:00:04:793,0.0120,0.2642,1.1088,1.140
22:00:04:795,-0.0080,0.2522,1.1488,1.176
22:00:04:796,-0.0200,0.2161,1.1248,1.146
22:00:04:797,-0.0240,0.1841,1.0767,1.093
22:00:04:799,-0.0560,0.1561,1.0367,1.050
22:00:04:800,-0.0600,0.1201,1.0447,1.053
22:00:04:801,-0.0600,0.0841,1.0727,1.078
22:00:04:803,-0.0560,0.0600,1.0487,1.052
22:00:04:804,-0.0440,0.0560,1.0247,1.027
22:00:04:805,-0.0560,0.0640,1.0407,1.044
22:00:04:807,-0.0680,0.0761,1.0407,1.046
22:00:04:816,-0.0801,0.0680,1.0407,1.046
22:00:04:822,-0.0761,0.0320,0.9967,1.000
22:00:04:832,-0.0801,0.0160,0.9847,0.988
22:00:04:842,-0.0761,0.0680,0.9967,1.002
22:00:04:863,-0.0881,0.1281,1.0687,1.080
22:00:04:865,-0.1041,0.2001,1.1688,1.190
22:00:04:872,-0.1041,0.2522,1.1728,1.204
22:00:04:894,-0.0921,0.3082,1.0767,1.124
22:00:04:895,-0.0761,0.3682,0.9767,1.047
22:00:04:902,-0.0881,0.4443,0.8926,1.001
22:00:04:913,-0.1001,0.4683,0.8126,0.943
22:00:04:922,-0.1441,0.4643,0.7725,0.913
22:00:04:932,-0.1681,0.4283,0.8085,0.930
22:00:04:961,-0.2001,0.4283,0.8766,0.996
22:00:04:963,-0.1761,0.4323,1.0207,1.122
22:00:04:965,-0.1161,0.4763,1.0927,1.198
22:00:04:974,-0.0961,0.4923,1.1528,1.257
22:00:04:982,-0.1401,0.4523,1.2128,1.302
22:00:04:995,-0.1681,0.3963,1.1768,1.253
22:00:05:2,-0.1361,0.3202,1.0887,1.143
22:00:05:12,-0.0801,0.2642,1.0127,1.050
22:00:05:22,-0.0320,0.2001,0.9847,1.005
22:00:05:32,-0.0040,0.1481,0.9767,0.988
22:00:05:64,-0.0120,0.1161,0.9887,0.996
22:00:05:66,-0.0360,0.0841,1.0567,1.061
22:00:05:67,-0.0480,0.0480,1.0927,1.095
22:00:05:75,-0.0160,0.0160,1.0927,1.093
22:00:05:82,0.0040,0.0600,1.0687,1.070
22:00:05:94,-0.0440,0.0680,1.0647,1.068
22:00:05:102,-0.0360,0.0480,1.0207,1.022
22:00:05:112,-0.0640,0.0480,1.0247,1.028
22:00:05:122,-0.0961,0.0040,0.9526,0.957
22:00:05:132,-0.0560,0.1001,0.9767,0.983
22:00:05:160,-0.0720,0.1601,1.0287,1.044
22:00:05:162,-0.0761,0.2001,1.1168,1.137
22:00:05:164,-0.0640,0.2282,1.2288,1.251
22:00:05:172,-0.0360,0.2962,1.3089,1.342
22:00:05:183,-0.0120,0.3562,1.2769,1.326
22:00:05:195,0.0040,0.3883,1.1608,1.224
22:00:05:202,-0.0200,0.4123,1.0047,1.086
22:00:05:212,-0.0480,0.4003,0.8886,0.976
22:00:05:222,-0.0640,0.3803,0.8366,0.921
22:00:05:232,-0.1081,0.3362,0.8126,0.886
22:00:05:262,-0.1601,0.2682,0.7885,0.848
22:00:05:264,-0.1681,0.2482,0.8846,0.934
22:00:05:265,-0.1361,0.2562,0.9767,1.019
22:00:05:274,-0.0841,0.2562,1.0727,1.106
22:00:05:282,-0.0680,0.2522,1.1168,1.147
22:00:05:293,-0.0921,0.2642,1.1168,1.151
22:00:05:302,-0.1161,0.2482,1.0607,1.096
22:00:05:312,-0.1401,0.2081,0.9887,1.020
22:00:05:322,-0.1161,0.1441,0.9446,0.963
22:00:05:332,-0.1121,0.0921,0.9326,0.944
22:00:05:361,-0.0720,0.0841,0.9286,0.935
22:00:05:363,-0.0480,0.1441,0.9446,0.957
22:00:05:365,-0.0360,0.2041,1.0327,1.053
22:00:05:372,-0.0600,0.2442,1.0887,1.117
22:00:05:382,-0.0881,0.2522,1.1007,1.133
22:00:05:393,-0.0801,0.2121,1.0367,1.061
22:00:05:402,-0.0560,0.1801,0.9767,0.995
22:00:05:412,-0.0320,0.1921,0.9366,0.957
22:00:05:423,-0.0280,0.2041,0.9486,0.971
22:00:05:432,-0.0440,0.2242,1.0487,1.073
22:00:05:461,-0.0600,0.2522,1.1768,1.205
22:00:05:463,-0.0320,0.2882,1.2208,1.255
22:00:05:465,0.0240,0.3242,1.1248,1.171
22:00:05:472,0.0240,0.3482,1.0487,1.105
22:00:05:482,-0.0400,0.3162,0.9607,1.012
22:00:05:493,-0.1041,0.2802,0.8966,0.945
22:00:05:502,-0.1241,0.2161,0.8886,0.923
22:00:05:512,-0.1401,0.1681,0.8886,0.915
22:00:05:522,-0.0961,0.1721,0.9406,0.961
22:00:05:532,-0.0160,0.2041,0.9927,1.014
22:00:05:565,0.0200,0.2642,1.0447,1.078
22:00:05:567,-0.0200,0.3162,1.1608,1.203
22:00:05:569,-0.1081,0.2922,1.2849,1.322
22:00:05:574,-0.1361,0.2322,1.2488,1.278
22:00:05:589,-0.0520,0.2001,1.0927,1.112
22:00:05:685,-0.0040,0.2322,0.9767,1.004
22:00:05:687,0.0240,0.2522,0.9246,0.959
22:00:05:689,-0.0320,0.2682,0.9847,1.021
22:00:05:690,-0.1241,0.2482,1.0727,1.108
22:00:05:692,-0.1481,0.2282,1.0767,1.111
22:00:05:694,-0.1321,0.2402,1.0887,1.123
22:00:05:695,-0.0801,0.2962,1.0607,1.104
22:00:05:697,-0.1041,0.3002,1.0847,1.130
22:00:05:698,-0.1241,0.2802,1.0847,1.127
22:00:05:700,-0.1241,0.2322,1.0007,1.035
22:00:05:702,-0.1081,0.1881,0.9406,0.965
22:00:05:703,-0.1001,0.1881,0.9406,0.964
22:00:05:808,-0.0961,0.2282,1.0127,1.043
22:00:05:809,-0.0961,0.2362,1.0847,1.114
22:00:05:810,-0.0440,0.2242,1.0807,1.105
22:00:05:812,0.0040,0.2322,1.0567,1.082
22:00:05:813,0.0040,0.2442,1.0527,1.081
22:00:05:815,-0.0400,0.2442,1.0727,1.101
22:00:05:816,-0.0600,0.2121,1.0487,1.072
22:00:05:817,-0.0240,0.2041,0.9767,0.998
22:00:05:818,-0.0280,0.2282,0.8886,0.918
22:00:05:820,-0.0320,0.2482,0.8686,0.904
22:00:05:821,-0.0640,0.2442,0.9566,0.989
22:00:05:823,-0.1161,0.2041,1.0127,1.040
22:00:05:836,-0.0881,0.1921,1.0247,1.046
22:00:05:844,-0.0680,0.2282,1.0047,1.033
22:00:05:852,-0.0320,0.2402,0.9687,0.998
22:00:05:880,-0.0360,0.2482,0.9326,0.966
22:00:05:882,-0.0160,0.2282,0.9246,0.952
22:00:05:883,-0.0400,0.1841,0.9246,0.944
22:00:05:894,-0.0240,0.1721,0.8726,0.890
22:00:05:902,0.0280,0.1721,0.8246,0.843
22:00:05:913,0.0480,0.1841,0.8366,0.858
22:00:05:926,0.0000,0.2242,0.9286,0.955
22:00:05:935,-0.0440,0.2402,1.0327,1.061
22:00:05:943,-0.0640,0.2161,1.1368,1.159
22:00:05:952,-0.0160,0.2121,1.1368,1.157
22:00:05:977,0.0400,0.2402,1.0847,1.112
22:00:05:979,0.0640,0.2842,1.0527,1.092
22:00:05:985,0.0440,0.3122,1.0567,1.103
22:00:05:992,0.0120,0.2962,1.0647,1.105
22:00:06:2,0.0000,0.2682,1.0367,1.071
22:00:06:12,0.0320,0.2722,1.0447,1.080
22:00:06:24,0.0520,0.3082,1.1328,1.175
22:00:06:32,0.0680,0.3562,1.2969,1.347
22:00:06:42,0.0801,0.3763,1.3369,1.391
22:00:06:52,0.1041,0.3562,1.2368,1.291
22:00:06:62,0.1001,0.3522,1.1368,1.194
22:00:06:94,0.0841,0.3482,1.0367,1.097
22:00:06:96,0.0761,0.3162,1.0167,1.067
22:00:06:98,0.0881,0.2602,0.9727,1.011
22:00:06:106,0.0961,0.2242,0.9286,0.960
22:00:06:113,0.0881,0.2001,0.9927,1.016
22:00:06:124,0.0480,0.2242,1.0887,1.113
22:00:06:132,0.0280,0.2282,1.2048,1.227
22:00:06:142,0.0120,0.2161,1.2488,1.267
22:00:06:152,0.0240,0.2041,1.1488,1.167
22:00:06:162,0.0200,0.2121,0.9847,1.007
22:00:06:191,0.0080,0.2081,0.9086,0.932
22:00:06:193,-0.0200,0.1801,0.8526,0.872
22:00:06:194,-0.0680,0.1641,0.8766,0.894
22:00:06:202,-0.0801,0.1521,0.8886,0.905
22:00:06:213,-0.0520,0.1481,0.9166,0.930
22:00:06:224,-0.0440,0.1961,0.9727,0.993
22:00:06:232,-0.0801,0.2682,1.0767,1.113
22:00:06:242,-0.1361,0.2962,1.1928,1.237
22:00:06:252,-0.1481,0.2882,1.2248,1.267
22:00:06:262,-0.1081,0.2522,1.1448,1.177
22:00:06:292,-0.0600,0.2682,1.0407,1.076
22:00:06:294,-0.0400,0.3002,0.9607,1.007
22:00:06:296,-0.0320,0.3202,0.9446,0.998
22:00:06:306,-0.0360,0.3322,0.9246,0.983
22:00:06:312,-0.0600,0.3082,0.9687,1.018
22:00:06:322,-0.0680,0.3002,0.9807,1.028
22:00:06:332,-0.0400,0.2962,0.9887,1.033
22:00:06:342,-0.0120,0.3162,1.0207,1.069
22:00:06:355,-0.0080,0.3082,1.0727,1.116
22:00:06:362,0.0000,0.2682,1.0727,1.106
22:00:06:372,0.0000,0.2442,0.9647,0.995
22:00:06:382,0.0160,0.2081,0.8726,0.897
22:00:06:412,0.0080,0.1961,0.8486,0.871
22:00:06:414,-0.0160,0.1761,0.8726,0.890
22:00:06:416,-0.0440,0.1481,0.8886,0.902
22:00:06:427,-0.0680,0.1241,0.9446,0.955
22:00:06:434,-0.0640,0.1241,1.0007,1.010
22:00:06:442,-0.0600,0.1801,1.0807,1.097
22:00:06:455,-0.0761,0.2282,1.1168,1.142
22:00:06:462,-0.0801,0.2242,1.1128,1.138
22:00:06:472,-0.0921,0.1881,1.0247,1.046
22:00:06:482,-0.0640,0.1561,0.9046,0.920
22:00:06:513,-0.0400,0.1681,0.7925,0.811
22:00:06:515,0.0000,0.1761,0.7365,0.757
22:00:06:516,0.0160,0.1881,0.6885,0.714
22:00:06:524,0.0160,0.1961,0.6925,0.720
22:00:06:532,-0.0040,0.1921,0.7525,0.777
22:00:06:542,-0.0320,0.2041,0.8726,0.897
22:00:06:553,-0.0440,0.2081,0.9887,1.011
22:00:06:562,-0.0120,0.2282,1.1248,1.148
22:00:06:572,0.0200,0.2522,1.2488,1.274
22:00:06:582,0.0560,0.3002,1.2769,1.313
22:00:06:668,0.0921,0.3442,1.2128,1.264
22:00:06:670,0.0881,0.3562,1.1408,1.198
22:00:06:671,0.0520,0.4123,1.1248,1.199
22:00:06:673,0.0080,0.4203,1.1408,1.216
22:00:06:675,0.0280,0.4163,1.1808,1.252
22:00:06:676,0.0680,0.3843,1.1408,1.206
22:00:06:678,0.0961,0.3923,1.1528,1.221
22:00:06:679,0.1041,0.4123,1.1808,1.255
22:00:06:684,0.0600,0.3682,1.2168,1.273
22:00:06:685,0.0280,0.3042,1.2128,1.251
22:00:06:791,0.0120,0.2522,1.1368,1.164
22:00:06:792,0.0120,0.2402,1.0767,1.103
22:00:06:794,0.0240,0.2322,1.0727,1.098
22:00:06:795,0.0000,0.2161,1.1248,1.145
22:00:06:796,-0.0120,0.1761,1.1528,1.166
22:00:06:798,-0.0200,0.1601,1.1888,1.200
22:00:06:799,-0.0440,0.1561,1.2168,1.228
22:00:06:800,-0.0720,0.1681,1.2208,1.234
22:00:06:802,-0.0881,0.1681,1.1808,1.196
22:00:06:803,-0.1001,0.1601,1.1488,1.164
22:00:06:804,-0.1161,0.1601,1.0887,1.107
22:00:06:806,-0.1201,0.1761,1.0367,1.058
22:00:06:833,-0.1401,0.1881,1.0367,1.063
22:00:06:835,-0.1401,0.2121,1.0607,1.091
22:00:06:836,-0.1401,0.2362,1.1007,1.134
22:00:06:847,-0.1441,0.2362,1.0927,1.127
22:00:06:853,-0.1321,0.2562,1.1007,1.138
22:00:06:862,-0.1081,0.2642,1.0807,1.118
22:00:06:887,-0.1041,0.2762,1.0607,1.101
22:00:06:889,-0.0921,0.2882,1.0127,1.057
22:00:06:895,-0.1001,0.2762,0.9647,1.008
22:00:06:924,-0.0720,0.2562,0.8686,0.908
22:00:06:925,-0.0320,0.2282,0.7805,0.814
22:00:06:927,-0.0160,0.2322,0.7325,0.769
22:00:06:936,-0.0120,0.2362,0.7085,0.747
22:00:06:944,-0.0360,0.2001,0.7285,0.756
22:00:06:952,-0.0600,0.1801,0.7365,0.761
22:00:06:962,-0.0720,0.1841,0.7445,0.770
22:00:06:972,-0.0720,0.1961,0.8326,0.858
22:00:07:3,-0.0640,0.2242,0.9046,0.934
22:00:07:5,-0.0961,0.2482,0.9847,1.020
22:00:07:6,-0.1001,0.2522,1.0527,1.087
22:00:07:13,-0.0881,0.2682,0.9927,1.032
22:00:07:22,-0.1081,0.2722,0.9446,0.989
22:00:07:35,-0.1041,0.2602,0.8646,0.909
22:00:07:42,-0.0921,0.2402,0.8326,0.871
22:00:07:55,-0.0761,0.2121,0.7805,0.812
22:00:07:62,-0.0560,0.2081,0.7445,0.775
22:00:07:72,-0.0200,0.2041,0.7125,0.741
22:00:07:107,-0.0040,0.2081,0.7525,0.781
22:00:07:109,0.0120,0.2242,0.7925,0.824
22:00:07:110,0.0120,0.2161,0.8686,0.895
22:00:07:112,-0.0160,0.2081,0.9727,0.995
22:00:07:123,-0.0520,0.2282,1.1248,1.149
22:00:07:135,-0.0640,0.2522,1.3129,1.338
22:00:07:142,-0.0400,0.2762,1.4570,1.483
22:00:07:152,0.0160,0.3202,1.4850,1.519
22:00:07:162,0.0400,0.3682,1.4570,1.503
22:00:07:172,-0.0120,0.4203,1.3889,1.451
22:00:07:211,-0.0680,0.4363,1.3209,1.393
22:00:07:214,-0.0881,0.3923,1.2448,1.308
22:00:07:216,-0.0400,0.3162,1.1408,1.184
22:00:07:217,0.0320,0.2762,1.0607,1.097
22:00:07:227,0.0801,0.2762,1.0527,1.091
22:00:07:233,0.0600,0.2802,1.1848,1.219
22:00:07:242,0.0120,0.2602,1.3449,1.370
22:00:07:253,0.0160,0.2362,1.4330,1.452
22:00:07:262,0.0480,0.2282,1.4370,1.456
22:00:07:272,0.0801,0.2242,1.3129,1.334
22:00:07:309,0.0720,0.1961,1.1288,1.148
22:00:07:312,0.0440,0.1761,0.9807,0.997
22:00:07:318,0.0080,0.1401,0.8726,0.884
22:00:07:320,-0.0240,0.1041,0.7845,0.792
22:00:07:331,-0.0680,0.1041,0.7405,0.751
22:00:07:332,-0.1001,0.1121,0.7525,0.767
22:00:07:344,-0.0841,0.1401,0.7805,0.797
22:00:07:352,-0.0921,0.1841,0.8366,0.862
22:00:07:362,-0.1041,0.2362,0.9286,0.964
22:00:07:372,-0.1561,0.2602,0.9767,1.023
22:00:07:404,-0.2001,0.2562,1.0167,1.067
22:00:07:406,-0.2041,0.2562,0.9526,1.007
22:00:07:408,-0.1681,0.2322,0.8566,0.903
22:00:07:415,-0.1241,0.2402,0.7765,0.822
22:00:07:422,-0.0680,0.2522,0.7325,0.778
22:00:07:434,-0.0640,0.2682,0.7445,0.794
22:00:07:442,-0.0761,0.2882,0.8126,0.865
22:00:07:452,-0.1201,0.2802,0.8766,0.928
22:00:07:462,-0.1001,0.2442,0.9446,0.981
22:00:07:472,-0.0440,0.2482,0.9847,1.016
22:00:07:510,0.0000,0.2842,1.0567,1.094
22:00:07:512,0.0040,0.3282,1.1368,1.183
22:00:07:514,0.0000,0.3242,1.1648,1.209
22:00:07:516,-0.0200,0.3082,1.1168,1.159
22:00:07:525,-0.0400,0.2962,1.0607,1.102
22:00:07:532,-0.0560,0.3042,1.0767,1.120
22:00:07:542,-0.0560,0.3042,1.1568,1.197
22:00:07:552,-0.0240,0.2882,1.1968,1.231
22:00:07:562,0.0080,0.2882,1.1968,1.231
22:00:07:572,0.0320,0.2802,1.2048,1.237
22:00:07:603,0.0160,0.2762,1.1448,1.178
22:00:07:679,0.0080,0.2402,1.1368,1.162
22:00:07:681,0.0000,0.2362,1.0887,1.114
22:00:07:683,0.0080,0.2041,1.0767,1.096
22:00:07:684,0.0120,0.1801,1.0527,1.068
22:00:07:686,0.0000,0.1721,1.0607,1.075
22:00:07:687,-0.0120,0.1641,1.0327,1.046
22:00:07:689,-0.0280,0.1761,0.9927,1.009
22:00:07:690,-0.0560,0.1801,0.9887,1.007
22:00:07:693,-0.0841,0.1841,0.9967,1.017
22:00:07:694,-0.0921,0.1481,1.0127,1.028
22:00:07:695,-0.0720,0.1841,0.9807,1.000
22:00:07:819,-0.0440,0.2121,0.9366,0.961
22:00:07:821,-0.0600,0.2282,0.9326,0.962
22:00:07:822,-0.0801,0.2322,0.9326,0.964
22:00:07:823,-0.1041,0.2322,0.9566,0.990
22:00:07:825,-0.0961,0.2282,0.9166,0.949
22:00:07:826,-0.0881,0.2242,0.8846,0.917
22:00:07:827,-0.0600,0.2362,0.8766,0.910
22:00:07:829,-0.0560,0.2682,0.9046,0.945
22:00:07:830,-0.0720,0.2722,0.9366,0.978
22:00:07:831,-0.0640,0.2722,0.9647,1.004
22:00:07:833,-0.0320,0.2562,0.9246,0.960
22:00:07:834,-0.0240,0.2642,0.9246,0.962
22:00:07:835,-0.0160,0.2922,0.9887,1.031
22:00:07:837,-0.0320,0.2882,1.0527,1.092
22:00:07:845,0.0120,0.2762,1.0647,1.100
22:00:07:857,0.0600,0.2882,1.0087,1.051
22:00:07:863,0.0320,0.3042,1.0007,1.046
22:00:07:872,0.0040,0.3282,1.0287,1.080
22:00:07:908,-0.0360,0.3282,1.0767,1.126
22:00:07:910,-0.0560,0.2842,1.0847,1.123
22:00:07:913,-0.0160,0.2602,1.0687,1.100
22:00:07:914,0.0160,0.2882,1.0887,1.126
22:00:07:950,0.0000,0.3122,1.1528,1.194
22:00:07:953,-0.0240,0.3082,1.2088,1.248
22:00:07:954,-0.0200,0.2682,1.1408,1.172
22:00:07:956,0.0040,0.2402,1.0487,1.076
22:00:07:966,0.0160,0.2402,0.9927,1.021
22:00:07:972,0.0280,0.2121,1.0007,1.023
22:00:08:11,0.0320,0.1961,0.9887,1.008
22:00:08:13,0.0280,0.1721,1.0047,1.020
22:00:08:15,-0.0040,0.1801,1.0327,1.048
22:00:08:16,-0.0200,0.1881,1.0967,1.113
22:00:08:24,-0.0440,0.2041,1.1528,1.172
22:00:08:32,-0.0280,0.2161,1.1848,1.205
22:00:08:42,-0.0120,0.2362,1.1328,1.157
22:00:08:52,-0.0040,0.2522,1.0727,1.102
22:00:08:73,-0.0120,0.2682,1.0407,1.075
22:00:08:75,-0.0280,0.2522,1.0167,1.048
22:00:08:84,-0.0440,0.2482,1.0127,1.044
22:00:08:92,-0.0200,0.2562,1.0087,1.041
22:00:08:104,-0.0400,0.2842,1.0247,1.064
22:00:08:143,-0.0600,0.3002,1.0927,1.135
22:00:08:145,-0.0761,0.2882,1.1328,1.171
22:00:08:147,-0.0480,0.2682,1.0687,1.103
22:00:08:148,-0.0400,0.2602,0.9847,1.019
22:00:08:157,-0.0280,0.2562,0.9246,0.960
22:00:08:162,-0.0600,0.2402,0.9246,0.957
22:00:08:172,-0.0881,0.2041,1.0047,1.029
22:00:08:182,-0.0921,0.1721,1.0127,1.031
22:00:08:192,-0.0320,0.1921,1.0207,1.039
22:00:08:227,-0.0280,0.2442,1.0487,1.077
22:00:08:229,-0.0761,0.2762,1.0607,1.099
